City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Sarkand,45.41,79.9186,12.7,57,56,1.94,KZ,1619444382
Nikolskoye,59.7035,30.7861,5.0,87,75,4.0,RU,1619444382
Dzerzhinskoye,56.8344,95.2283,2.31,97,100,1.86,RU,1619444383
Phetchaburi,12.9667,99.5833,28.33,99,99,1.68,TH,1619444383
Katsuura,35.1333,140.3,13.0,58,20,4.63,JP,1619444383
Caravelas,-17.7125,-39.2481,29.57,57,76,3.89,BR,1619444384
Chokurdakh,70.6333,147.9167,-4.94,94,100,2.77,RU,1619444384
Casper,42.8666,-106.3131,6.0,65,1,3.6,US,1619444280
Arona,28.0996,-16.681,22.0,64,40,4.12,ES,1619444384
Ishigaki,24.3448,124.1572,22.79,64,14,5.08,JP,1619444385
Hailar,49.2,119.7,9.13,20,0,5.49,CN,1619444385
Shīeli,44.1667,66.75,23.71,13,3,6.62,KZ,1619444385
Krasnogvardeyets,52.6804,52.3635,12.29,42,100,2.48,RU,1619444385
Los Llanos de Aridane,28.6585,-17.9182,22.0,64,75,2.57,ES,1619444386
Santa María del Oro,25.9333,-105.3667,17.43,23,100,2.48,MX,1619444386
Pangnirtung,66.1451,-65.7125,3.0,87,90,3.09,CA,1619444387
Orlik,52.5178,99.825,-6.24,85,38,1.01,RU,1619444387
Zaysan,47.4667,84.8667,9.01,34,82,1.1,KZ,1619444387
Thompson,55.7435,-97.8558,-4.0,100,90,1.54,CA,1619444387
Jerantut,3.936,102.3626,23.85,96,100,0.87,MY,1619444388
Nouadhibou,20.931,-17.0347,24.0,57,0,6.69,MR,1619444388
Mount Gambier,-37.8333,140.7667,12.0,94,90,1.54,AU,1619444389
Kloulklubed,7.0419,134.2556,26.0,89,75,2.06,PW,1619444389
São João da Barra,-21.6403,-41.0511,27.0,78,75,0.9,BR,1619444389
Ostrovnoy,68.0531,39.5131,-0.53,84,100,9.99,RU,1619444389
Lorengau,-2.0226,147.2712,27.25,76,100,0.7,PG,1619444390
Maun,-19.9833,23.4167,31.0,23,0,4.12,BW,1619444390
Hong Kong,22.2855,114.1577,23.89,83,100,0.45,HK,1619444357
Zhezkazgan,47.8043,67.7144,19.01,33,61,4.41,KZ,1619444390
Kanhangad,12.3081,75.1063,28.67,79,12,1.5,IN,1619444391
Portobelo,9.55,-79.65,27.78,78,20,2.57,PA,1619444211
Yarmouth,41.7057,-70.2286,10.0,57,1,6.69,US,1619444153
Sitka,57.0531,-135.33,4.0,75,1,1.54,US,1619444391
Doha,25.2867,51.5333,32.22,51,100,5.66,QA,1619444392
Uruçuí,-7.2294,-44.5561,30.38,59,87,2.49,BR,1619444392
Puerto Escondido,15.85,-97.0667,25.0,83,20,1.53,MX,1619444393
Sakakah,29.9697,40.2064,38.0,5,0,7.2,SA,1619444393
Cartagena del Chairá,1.3349,-74.8429,25.84,84,100,0.56,CO,1619444393
Kahului,20.8947,-156.47,20.56,94,1,4.96,US,1619444394
Cabo San Lucas,22.8909,-109.9124,18.0,45,20,6.69,MX,1619444386
Inuvik,68.3499,-133.7218,-12.0,85,94,3.6,CA,1619444394
Camapuã,-19.5314,-54.0439,26.54,58,59,1.38,BR,1619444395
Abashiri,44.0213,144.2697,-0.58,71,33,2.92,JP,1619444395
Jieshi,22.8134,115.8257,22.44,79,100,6.92,CN,1619444395
Souillac,-20.5167,57.5167,26.0,78,75,7.2,MU,1619444396
Petropavlovsk-Kamchatskiy,53.0452,158.6483,2.0,100,90,2.0,RU,1619444396
Dzhebariki-Khaya,62.2167,135.8,-0.51,98,100,2.61,RU,1619444396
Luohe,33.5717,114.0353,13.1,82,98,3.5,CN,1619444397
Dukat,62.55,155.55,-19.23,98,15,2.07,RU,1619444397
Cherskiy,68.75,161.3,-15.46,96,52,2.43,RU,1619444397
Vanavara,60.34,102.2797,-7.07,85,7,1.47,RU,1619444398
Marsh Harbour,26.5412,-77.0636,24.08,80,2,7.72,BS,1619444129
Koslan,63.4564,48.8989,6.4,72,100,1.13,RU,1619444398
Codrington,-38.2667,141.9667,13.75,74,98,1.98,AU,1619444398
Ust'-Uda,54.1742,103.0304,1.35,96,99,3.39,RU,1619444399
Ndélé,8.4109,20.6473,36.26,27,26,2.65,CF,1619444399
Faanui,-16.4833,-151.75,26.7,70,0,1.16,PF,1619444399
Takoradze,4.8845,-1.7554,30.24,69,43,4.86,GH,1619444400
Sarankhola,22.3082,89.7897,28.44,67,1,4.8,BD,1619444400
Lavrentiya,65.5833,-171.0,-7.2,80,56,2.77,RU,1619444401
Saint-Pierre,-21.3393,55.4781,27.0,69,0,8.23,RE,1619444401
Örnsköldsvik,63.2909,18.7153,7.0,29,75,3.6,SE,1619444401
Andenes,69.3143,16.1194,2.0,87,75,4.12,NO,1619444404
‘Ewa Beach,21.3156,-158.0072,23.0,73,1,1.54,US,1619444398
Mehamn,71.0357,27.8492,2.0,64,75,5.14,NO,1619444405
Praia,14.9215,-23.5087,25.0,57,20,9.26,CV,1619444239
Norman Wells,65.282,-126.8329,-11.0,67,90,4.12,CA,1619444405
Bethel,41.3712,-73.414,7.0,49,40,5.14,US,1619444406
Vitim,59.4511,112.5578,-6.19,90,88,2.6,RU,1619444406
Beringovskiy,63.05,179.3167,-5.44,96,58,1.88,RU,1619444406
Olafsvik,64.8945,-23.7142,5.0,66,11,4.78,IS,1619444407
Vila Franca do Campo,37.7167,-25.4333,18.0,68,75,4.63,PT,1619444407
Turukhansk,65.8167,87.9833,-5.95,91,31,1.12,RU,1619444407
Aroeiras,-7.5453,-35.7075,28.0,57,40,5.66,BR,1619444408
Balagansk,54.0103,103.0544,1.64,95,99,4.27,RU,1619444408
Asău,46.4333,26.4,7.22,45,42,1.06,RO,1619444408
Orimattila,60.8049,25.7296,4.44,96,100,1.34,FI,1619444409
Mayahi,13.9553,7.6712,42.08,6,15,5.03,NE,1619444409
Port Hueneme,34.1478,-119.1951,11.11,82,75,2.56,US,1619444409
Quesnel,52.9999,-122.5029,-5.0,86,1,1.49,CA,1619444394
Provideniya,64.3833,-173.3,-0.32,93,80,0.49,RU,1619444410
Dwārka,22.2394,68.9678,28.26,74,0,7.2,IN,1619444410
Chernoyerkovskaya,45.4331,37.7686,11.0,71,75,6.0,RU,1619444410
San Patricio,28.017,-97.5169,24.44,88,90,4.63,US,1619444411
Shimoda,34.6667,138.95,8.89,69,20,1.92,JP,1619444411
Guerrero Negro,27.9769,-114.0611,15.39,71,100,3.13,MX,1619444411
Jiexiu,37.0244,111.9125,14.61,15,28,2.66,CN,1619444412
Samarai,-10.6167,150.6667,27.82,76,99,2.89,PG,1619444412
New Norfolk,-42.7826,147.0587,10.0,81,33,1.42,AU,1619444412
Hasaki,35.7333,140.8333,10.0,66,20,1.54,JP,1619444413
Vostok,46.4856,135.8833,1.47,50,26,2.52,RU,1619444413
Resistencia,-27.4606,-58.9839,18.89,77,0,2.57,AR,1619444413
Broome,42.2506,-75.833,1.67,69,90,6.69,US,1619444312
Gōtsuchō,35.0,132.2167,9.59,56,100,3.14,JP,1619444414
Longyearbyen,78.2186,15.6401,-5.0,58,20,5.66,SJ,1619444183
Klaksvík,62.2266,-6.589,9.0,81,75,6.69,FO,1619444414
Adrar,20.5022,-10.0711,36.2,12,5,0.41,MR,1619444414
Toma,12.7667,-2.8833,40.32,17,63,2.53,BF,1619444415
Matamoros,25.5333,-103.25,22.22,30,75,0.33,MX,1619444415
Ugoofaaru,5.6667,73.0,29.06,71,14,2.25,MV,1619444415
Ust'-Karsk,52.7011,118.8077,9.21,87,100,1.69,RU,1619444415
Geraldton,-28.7667,114.6,18.0,68,97,2.57,AU,1619444416
Torata,-17.0769,-70.8433,18.12,21,0,1.8,PE,1619444416
Opuwo,-18.0607,13.84,30.67,18,5,3.54,NA,1619444416
Urucará,-2.5364,-57.76,27.07,90,100,1.85,BR,1619444417
Guía de Isora,28.2115,-16.7795,22.0,64,40,4.12,ES,1619444417
College,64.8569,-147.8028,0.56,80,20,1.54,US,1619444417
Vieques,18.425,-65.8329,27.22,65,40,1.54,PR,1619444418
Vestmannaeyjar,63.4427,-20.2734,8.0,76,0,4.12,IS,1619444418
Nemuro,43.3236,145.575,0.48,68,5,6.11,JP,1619444419
Tuktoyaktuk,69.4541,-133.0374,-18.0,85,75,4.12,CA,1619444419
Leeuwarden,53.2014,5.8086,9.44,57,75,5.66,NL,1619444419
Eydhafushi,5.1033,73.0708,29.15,70,12,2.29,MV,1619444420
Chokwé,-24.5333,32.9833,31.41,31,0,0.93,MZ,1619444420
Verāval,20.9,70.3667,28.5,71,0,5.46,IN,1619444420
San Quintín,30.4833,-115.95,13.85,85,100,2.35,MX,1619444421
Tamale,9.4008,-0.8393,38.48,30,4,1.62,GH,1619444421
Belaya Gora,68.5333,146.4167,-13.98,91,26,2.79,RU,1619444421
Bitkine,11.9801,18.2138,39.69,14,59,4.16,TD,1619444422
Labuhan,-6.8844,112.2051,26.76,80,9,3.25,ID,1619444422
Sobolevo,54.4299,31.8996,5.87,48,100,3.78,RU,1619444422
Dunedin,-45.8742,170.5036,6.67,69,99,6.71,NZ,1619444422
Yenagoa,4.9247,6.2642,35.12,43,56,1.94,NG,1619444423
Hamilton,39.1834,-84.5333,13.33,54,1,3.09,US,1619443949
Lampazos de Naranjo,27.0167,-100.5167,23.95,70,100,3.05,MX,1619444423
Malanje,-9.5402,16.341,26.88,53,76,2.31,AO,1619444424
Saint George,37.1041,-113.5841,16.11,29,20,2.57,US,1619444424
Visnes,59.3556,5.2242,8.0,61,20,7.72,NO,1619444424
Yārāda,17.65,83.2667,30.0,74,20,3.6,IN,1619444425
Dingle,10.9995,122.6711,25.62,80,62,2.74,PH,1619444425
Ipixuna,-1.7625,-48.8043,29.0,74,40,4.12,BR,1619444425
Huicungo,-7.2833,-76.8,24.0,88,90,0.36,PE,1619444426
Tuatapere,-46.1333,167.6833,6.11,83,100,1.34,NZ,1619444426
Adana Province,36.985,35.2881,24.0,68,40,6.69,TR,1619444426
Nishihara,26.1842,127.7558,21.0,60,1,2.57,JP,1619444427
Miraflores,19.2167,-98.8083,16.0,59,40,2.06,MX,1619444427
LaBelle,26.7617,-81.4384,25.0,78,1,2.06,US,1619444427
Emmett,43.8735,-116.4993,6.67,87,100,2.28,US,1619444427
Salalah,17.0151,54.0924,30.0,66,20,6.17,OM,1619444428
Narsaq,60.9167,-46.05,6.0,70,75,6.17,GL,1619444428
Longkou,37.6508,120.3286,11.63,93,100,4.03,CN,1619444429
Qaanaaq,77.484,-69.3632,2.28,68,37,3.86,GL,1619444429
Cidreira,-30.1811,-50.2056,19.3,66,61,6.07,BR,1619444429
Matara,5.9485,80.5353,27.06,81,54,2.03,LK,1619444429
Acaraú,-2.8856,-40.12,29.45,63,28,4.76,BR,1619444430
Ryōtsu-minato,38.0833,138.4333,6.06,58,2,1.47,JP,1619444430
Bereda,43.2686,-7.5406,18.33,69,91,0.89,ES,1619444431
San Juan,-31.5375,-68.5364,19.82,44,0,1.03,AR,1619444355
Jacareacanga,-6.2222,-57.7528,24.0,94,90,1.03,BR,1619444431
Kirakira,-10.4544,161.9205,26.21,84,100,2.34,SB,1619444431
Port Blair,11.6667,92.75,28.0,74,46,2.81,IN,1619444432
Colesberg,-30.72,25.0972,24.88,15,100,5.85,ZA,1619444432
Salamiyah,35.0113,37.0532,21.2,37,0,12.0,SY,1619444432
Adra,36.7496,-3.0206,21.11,77,0,8.75,ES,1619444433
Havøysund,70.9963,24.6622,2.0,64,75,5.66,NO,1619444433
Dicabisagan,17.0818,122.4157,24.18,84,99,3.17,PH,1619444433
Bol'shoye Selo,57.7177,38.9334,5.7,68,91,5.02,RU,1619444434
Moorhead,46.8739,-96.7676,3.0,81,90,2.06,US,1619444434
Mercedes,-34.6515,-59.4307,18.33,80,65,1.34,AR,1619444434
Kerema,-7.9631,145.7785,25.56,88,100,1.03,PG,1619444435
Snezhnogorsk,69.1933,33.2531,3.0,60,40,3.0,RU,1619444435
Crato,-7.2342,-39.4094,30.56,50,93,2.13,BR,1619444435
Jalu,29.0331,21.5482,27.68,19,0,3.63,LY,1619444436
Luanda,-8.8368,13.2343,31.0,66,20,6.17,AO,1619444344
Daru,-9.0763,143.2092,25.32,86,100,1.73,PG,1619444436
Carballo,43.213,-8.691,16.11,88,99,2.68,ES,1619444436
Batagay-Alyta,67.8006,130.4114,-4.16,98,100,0.9,RU,1619444437
Dhidhdhoo,6.8833,73.1,29.58,70,19,2.91,MV,1619444437
Severomuysk,56.1481,113.4267,-10.39,87,100,2.89,RU,1619444437
São Filipe,14.8961,-24.4956,22.48,74,26,5.19,CV,1619444438
Kapchorwa,1.3965,34.4509,18.31,82,83,1.01,UG,1619444438
Ganta,7.3022,-8.5308,34.61,38,47,1.4,LR,1619444438
Mwinilunga,-11.7358,24.4293,22.78,69,23,2.21,ZM,1619444439
Taltal,-25.4,-70.4833,18.85,69,0,2.3,CL,1619444439
Bobo-Dioulasso,11.1771,-4.2979,35.0,49,20,2.57,BF,1619444439
Ilo,-17.6394,-71.3375,21.0,78,0,6.17,PE,1619444440
Port Augusta,-32.5,137.7667,15.0,82,7,2.06,AU,1619444440
Kataysk,56.289,62.5841,11.02,33,66,7.3,RU,1619444440
Babaeski,41.4325,27.0931,17.16,45,0,1.78,TR,1619444441
Kasongo-Lunda,-6.4667,16.8167,30.21,59,96,1.45,CD,1619444441
Constitución,-35.3333,-72.4167,16.43,56,0,2.35,CL,1619444441
Atherton,53.5237,-2.4935,16.11,50,100,0.45,GB,1619444442
Salug,8.1147,122.7833,26.04,80,25,1.18,PH,1619444442
Ahtopol,42.1,27.95,16.0,55,20,7.2,BG,1619444442
Deputatsky,69.3,139.9,-8.26,91,100,1.26,RU,1619444443
Coyhaique,-45.5752,-72.0662,11.0,66,75,2.06,CL,1619444443
Clyde River,70.4692,-68.5914,-5.0,100,90,1.56,CA,1619444444
Salinópolis,-0.6136,-47.3561,29.02,68,92,3.7,BR,1619444444
Camargo,27.6667,-105.1667,20.82,13,100,2.05,MX,1619444444
Bouna,9.2667,-3.0,37.98,30,98,2.25,CI,1619444445
Ballina,-28.8667,153.5667,17.0,82,90,2.06,AU,1619444445
Santa Cruz do Capibaribe,-7.9575,-36.2047,32.12,35,31,4.37,BR,1619444445
Kozachi Laheri,46.7037,32.9776,12.0,58,40,8.0,UA,1619444446
Tavda,58.0425,65.2726,9.67,39,74,4.4,RU,1619444446
Gospić,44.5461,15.3747,16.0,59,0,3.09,HR,1619444446
San Luis,-33.295,-66.3356,18.9,50,0,3.53,AR,1619444391
Zinder,13.8072,8.9881,43.0,14,20,2.57,NE,1619444447
Hirara,24.8,125.2833,22.22,64,99,5.54,JP,1619444447
Cabedelo,-6.9811,-34.8339,30.0,70,40,4.12,BR,1619444447
Terra Santa,-2.1042,-56.4869,27.0,87,100,2.29,BR,1619444448
Lavras,-21.2453,-44.9997,25.15,47,19,0.53,BR,1619444448
Pevek,69.7008,170.3133,-9.62,95,100,1.2,RU,1619444448
Stornoway,58.2093,-6.3865,9.44,93,75,6.69,GB,1619444449
Govlyar,40.948,45.735,20.0,52,75,2.06,AZ,1619444449
Çayeli,41.0923,40.7292,10.8,93,100,4.93,TR,1619444449
